LOC,ITEM,DEPT,DEPT_NAME,CLASS,CLASS_NAME,SUBCLASS,SUB_NAME,ITEM_DESC,AV_COST,SELLING_UNIT_RETAIL,CURRENCY_CODE,UDA_VALUE,ITEM_LOC_STATUS,SIZE,BARCODE
ALT01,033327054682,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1018364-D2VE-1B000:VSC.1B000:37.5:MULE T.10 PATENT CALF LEATHER,1116.1436,2850,AED,333,A,37.5,8053609882623
ALT01,033327054683,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1018364-D2VE-1B000:VSC.1B000:38:MULE T.10 PATENT CALF LEATHER,1126.806,2850,AED,333,A,38,8053609882692
ALT01,033327054683,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1018364-D2VE-1B000:VSC.1B000:38:MULE T.10 PATENT CALF LEATHER,1126.806,2850,AED,333,A,38,8054034336897
ALT01,033327054684,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1018364-D2VE-1B000:VSC.1B000:38.5:MULE T.10 PATENT CALF LEATHER,1116.1436,2850,AED,333,A,38.5,8053609882647
ALT01,033327054685,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1018364-D2VE-1B000:VSC.1B000:39:MULE T.10 PATENT CALF LEATHER,1126.806,2850,AED,333,A,39,8053609882654
ALT01,033327054685,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1018364-D2VE-1B000:VSC.1B000:39:MULE T.10 PATENT CALF LEATHER,1126.806,2850,AED,333,A,39,8054034336910
ALT01,033327054686,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1018364-D2VE-1B000:VSC.1B000:39.5:MULE T.10 PATENT CALF LEATHER,1116.1436,2850,AED,333,A,39.5,8053609882661
ALT01,033327054687,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1018364-D2VE-1B000:VSC.1B000:40:MULE T.10 PATENT CALF LEATHER,1126.806,2850,AED,333,A,40,8053609882678
ALT01,033327054687,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1018364-D2VE-1B000:VSC.1B000:40:MULE T.10 PATENT CALF LEATHER,1126.806,2850,AED,333,A,40,8054034336934
ALT01,033327054688,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1018364-D2VE-1B000:VSC.1B000:41:MULE T.10 PATENT CALF LEATHER,1116.1436,2850,AED,333,A,41,8053609882630
