NUM_DOC;LABEL_DOC;SITE_LOCATION;STOCK_LOCATION;DATE;STATUS_DOC;CODE_ARTICLE;EXPECTED_QUANTITY_LINE;COUNTED_QUANTITY_LINE;GAP_QUANTITY_LINE;STATUS_LINE;FAMILY
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717425708;1;1;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717425707;2;2;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717425702;2;2;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717425703;1;1;0;COUNTED_ON_SECTOR;6749
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717425704;2;2;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541651;3;3;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541652;2;2;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541663;2;2;0;COUNTED_ON_SECTOR;6749
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541664;2;2;0;COUNTED_ON_SECTOR;6939
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541666;1;1;0;COUNTED_ON_SECTOR;6939
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541668;2;2;0;COUNTED_ON_SECTOR;6939
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541691;1;1;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541693;3;3;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541694;2;2;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541695;2;2;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541696;3;3;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541711;1;1;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541736;1;1;0;COUNTED_ON_SECTOR;6939
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541752;3;3;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541753;2;2;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541754;1;1;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541756;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541757;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541758;2;2;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541759;2;2;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541763;2;2;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541764;3;3;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541765;2;1;-1;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541766;2;2;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541767;2;2;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541768;4;4;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541508;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541516;1;1;0;COUNTED_ON_SECTOR;6688
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541523;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541524;1;1;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541527;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541528;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541529;4;4;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541530;1;1;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541531;4;4;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541533;2;2;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541555;1;1;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541557;1;1;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541561;1;1;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541570;2;2;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541571;3;3;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541574;2;2;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541575;4;4;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541576;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541577;2;2;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541578;1;1;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541579;2;2;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541774;1;1;0;COUNTED_ON_SECTOR;6749
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541794;1;1;0;COUNTED_ON_SECTOR;6668
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541799;1;1;0;COUNTED_ON_SECTOR;6668
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541800;1;1;0;COUNTED_ON_SECTOR;6668
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541801;2;2;0;COUNTED_ON_SECTOR;6668
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541868;1;1;0;COUNTED_ON_SECTOR;3973
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541869;1;1;0;COUNTED_ON_SECTOR;3973
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541873;1;0;-1;NOT_COUNT;3973
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541488;1;1;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541495;2;2;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541499;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541580;1;1;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541582;2;2;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717541583;4;4;0;COUNTED_ON_SECTOR;4533
